Id,model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize,color
52, Ka+,2019,8995,Manual,5122,Petrol,145,43.5,1.2,red
53, Ka+,2019,8495,Manual,32,Petrol,145,48.7,1.2,green
54, Fiesta,2016,6395,Manual,31562,Petrol,125,54.3,1.2,blue
55, Focus,2019,14495,Manual,8131,Petrol,145,58.9,1.0,black
56, Tourneo Custom,2018,19995,Automatic,24568,Diesel,145,31.7,2.0,red
57, S-MAX,2017,18495,Automatic,39605,Diesel,145,54.3,2.0,white
58, Focus,2019,17995,Manual,11496,Diesel,145,57.6,2.0,black
59, Fiesta,2013,5495,Manual,51271,Petrol,30,54.3,1.2,silver
60, Kuga,2018,16995,Automatic,7189,Diesel,145,58.9,1.5,yellow
61, Kuga,2018,16495,Manual,29428,Diesel,145,54.3,1.5,red
62, Kuga,2018,17998,Manual,12162,Petrol,145,39.2,1.5,gray
63, B-MAX,2014,7498,Semi-Auto,33023,Petrol,160,44.1,1.6,red
64, Focus,2019,17498,Manual,2714,Petrol,150,49.6,1.0,green
65, S-MAX,2017,17498,Manual,17051,Diesel,150,56.5,2.0,silver
66, Fiesta,2013,5998,Manual,44304,Diesel,0,76.4,1.5,yellow
67, Kuga,2019,17698,Manual,4844,Petrol,145,34.4,1.5,gray
68, Kuga,2016,11000,Manual,31810,Diesel,125,60.1,2.0,black
69, EcoSport,2017,8700,Manual,43081,Petrol,145,44.8,1.5,white
70, Kuga,2017,15300,Manual,47159,Diesel,145,54.3,2.0,green
71, Fiesta,2013,7490,Manual,25000,Petrol,0,65.7,1.0,silver
72, Focus,2017,10760,Manual,29891,Petrol,145,60.1,1.0,orange
73, Kuga,2019,18760,Manual,10237,Petrol,145,39.2,1.5,black
74, Fiesta,2014,6360,Manual,48653,Petrol,0,65.7,1.0,blue
75, Fiesta,2014,6270,Manual,60888,Petrol,0,65.7,1.0,silver
76, Kuga,2017,17920,Automatic,15815,Petrol,235,38.2,1.5,blue
77, Fiesta,2013,4790,Manual,74128,Petrol,0,65.7,1.0,white
78, Focus,2015,7830,Manual,50124,Diesel,0,74.3,1.5,orange
79, Fiesta,2015,6990,Manual,29851,Diesel,0,76.4,1.5,black
80, Edge,2016,18640,Manual,24105,Diesel,160,48.7,2.0,orange
81, Fiesta,2015,6700,Manual,28935,Petrol,30,54.3,1.2,red
82, Fiesta,2018,9498,Manual,30925,Petrol,145,65.7,1.0,red
83, Focus,2018,13698,Manual,13418,Petrol,145,58.9,1.0,black
84, Fiesta,2018,13298,Manual,13756,Petrol,145,58.9,1.0,blue
85, Kuga,2015,14398,Manual,25175,Diesel,145,54.3,2.0,white
86, Fiesta,2017,8998,Manual,21267,Petrol,145,64.2,1.1,gray
87, Fiesta,2019,12698,Manual,12130,Petrol,145,56.5,1.0,gray
88, Fiesta,2019,11998,Manual,17354,Petrol,145,56.5,1.0,green
89, Fiesta,2019,13498,Manual,15822,Petrol,145,58.9,1.0,green
90, Fiesta,2019,13498,Manual,10557,Petrol,145,58.9,1.0,orange
91, Focus,2016,9698,Manual,20786,Petrol,20,61.4,1.0,gray
92, Focus,2016,24995,Manual,7997,Petrol,235,36.7,2.3,green
93, Fiesta,2017,9895,Manual,19079,Petrol,145,65.7,1.0,red
94, Fiesta,2018,12995,Manual,14979,Petrol,145,58.9,1.0,white
95, Tourneo Connect,2015,9295,Manual,47904,Diesel,125,56.5,1.6,orange
96, Fiesta,2016,8495,Manual,24410,Petrol,125,54.3,1.2,gray
97, Fiesta,2019,13895,Manual,13600,Petrol,145,58.9,1.0,gray
98, Focus,2018,18298,Manual,21456,Diesel,145,67.3,2.0,orange
99, Focus,2015,9198,Manual,31512,Diesel,0,74.3,1.5,orange
100, Fiesta,2016,10798,Manual,11843,Petrol,0,65.7,1.0,silver
101, Fiesta,2016,8998,Manual,31373,Petrol,0,65.7,1.0,red
102, Kuga,2018,18498,Manual,7796,Diesel,145,54.3,1.5,black
103, Kuga,2017,13498,Manual,26597,Diesel,145,54.3,2.0,green
104, Kuga,2017,14998,Manual,15978,Diesel,30,64.2,1.5,blue
105, Kuga,2017,13998,Automatic,13265,Petrol,240,38.2,1.5,silver
106, EcoSport,2016,9998,Manual,20491,Petrol,125,52.3,1.0,green
107, Tourneo Connect,2017,10998,Manual,16310,Petrol,125,50.4,1.0,orange
108, Focus,2017,17698,Manual,14557,Petrol,145,41.5,2.0,orange
109, Focus,2017,11498,Semi-Auto,30917,Petrol,125,51.4,1.0,black
110, Focus,2017,12798,Manual,22153,Diesel,145,74.3,1.5,red
111, C-MAX,2015,8698,Manual,31743,Petrol,30,55.4,1.0,orange
112, Kuga,2019,19495,Manual,13673,Diesel,145,47.9,2.0,silver
113, Fiesta,2018,9995,Manual,25776,Petrol,145,65.7,1.0,red
114, Focus,2016,10995,Manual,30923,Diesel,0,74.3,1.5,orange
115, Kuga,2017,13998,Manual,24504,Diesel,150,64.2,1.5,black
116, Fiesta,2017,11998,Manual,6568,Petrol,145,62.8,1.0,silver
117, Tourneo Connect,2016,8998,Manual,42960,Diesel,30,61.4,1.5,gray
118, Kuga,2018,16698,Manual,5117,Diesel,145,54.3,1.5,blue
119, EcoSport,2016,8998,Manual,31736,Petrol,125,53.3,1.0,red
120, Fiesta,2015,7998,Manual,19212,Petrol,0,65.7,1.0,gray
121, Fiesta,2018,12495,Manual,12426,Petrol,145,65.7,1.0,green
122, Ka+,2017,7995,Manual,12872,Petrol,145,57.7,1.2,gray
123, Puma,2020,21995,Manual,4111,Petrol,145,50.4,1.0,gray
124, Kuga,2018,16995,Manual,34690,Diesel,145,60.1,2.0,black
125, Fiesta,2018,11995,Manual,32168,Petrol,145,65.7,1.0,black
126, Kuga,2019,19995,Manual,11312,Diesel,145,47.9,2.0,orange
127, Fiesta,2017,8995,Manual,31559,Petrol,145,65.7,1.0,gray
128, Ka+,2017,8295,Manual,23000,Petrol,145,57.7,1.2,silver
129, EcoSport,2018,14698,Manual,6442,Petrol,145,54.3,1.0,red
130, Fiesta,2016,10498,Semi-Auto,29590,Petrol,0,57.7,1.0,yellow
131, Focus,2018,14495,Manual,17030,Petrol,145,57.7,1.0,white
132, Focus,2016,8995,Manual,22493,Petrol,20,60.1,1.0,white
133, Focus,2016,15995,Manual,29600,Diesel,20,67.3,2.0,red
134, C-MAX,2016,10995,Semi-Auto,26500,Diesel,125,58.9,2.0,orange
135, Tourneo Custom,2017,19995,Manual,14000,Diesel,200,44.8,2.0,orange
136, C-MAX,2013,8295,Manual,34783,Diesel,30,61.4,1.6,yellow
137, Focus,2015,7995,Manual,56655,Diesel,20,67.3,1.6,yellow
138, Kuga,2019,19995,Manual,16000,Diesel,150,47.9,2.0,green
139, Mondeo,2015,9995,Manual,30753,Diesel,0,78.5,1.5,red
140, Grand C-MAX,2018,13495,Manual,1030,Petrol,145,47.9,1.0,green
141, C-MAX,2017,12995,Manual,7817,Petrol,145,55.4,1.0,green
142, Focus,2018,12995,Manual,9781,Petrol,145,60.1,1.0,green
143, EcoSport,2018,12998,Manual,17241,Petrol,145,54.3,1.0,green
144, Tourneo Connect,2015,10298,Manual,28309,Diesel,125,58.9,1.6,green
145, Fiesta,2017,10498,Manual,50599,Petrol,0,65.7,1.0,yellow
146, Focus,2018,11298,Semi-Auto,37880,Diesel,150,74.3,1.5,green
147, Kuga,2016,10698,Manual,56888,Diesel,125,60.1,2.0,white
148, Focus,2018,15995,Manual,10500,Petrol,145,60.1,1.0,red
149, B-MAX,2014,6995,Semi-Auto,50800,Petrol,160,44.1,1.6,red
150, Fiesta,2019,13950,Manual,6700,Petrol,145,58.9,1.0,yellow
151, Fiesta,2017,10650,Manual,31800,Petrol,150,65.7,1.0,white
152, Fiesta,2016,7995,Manual,20700,Petrol,125,54.3,1.2,yellow
153, Focus,2016,11495,Manual,29900,Diesel,0,74.3,1.5,silver
154, Kuga,2018,16995,Manual,32858,Diesel,145,54.3,2.0,red
155, Fiesta,2018,11995,Manual,31593,Petrol,145,65.7,1.0,gray
156, Focus,2015,10995,Manual,13791,Petrol,125,51.4,1.5,orange
157, Kuga,2019,20495,Manual,12034,Diesel,145,47.9,2.0,black
158, Focus,2018,19995,Manual,10923,Diesel,145,67.3,2.0,white
159, Kuga,2019,19995,Manual,10171,Diesel,145,38.2,2.0,orange
160, Focus,2016,10995,Manual,30923,Diesel,0,74.3,1.5,orange
161, EcoSport,2019,18995,Manual,2291,Petrol,145,52.3,1.0,orange
162, Focus,2017,11995,Manual,23469,Petrol,125,51.4,1.5,silver
163, Kuga,2017,16998,Manual,13626,Diesel,125,60.1,2.0,blue
164, Fiesta,2016,7398,Manual,35180,Petrol,125,54.3,1.2,green
165, Fiesta,2019,11498,Manual,17708,Petrol,145,58.9,1.0,gray
166, Fiesta,2019,13998,Manual,9957,Petrol,145,58.9,1.0,black
167, Focus,2019,16698,Manual,4542,Petrol,145,60.1,1.0,blue
168, Mondeo,2016,9998,Manual,38358,Diesel,0,78.5,1.5,gray
169, Focus,2015,12998,Manual,25878,Diesel,20,67.3,2.0,red
170, EcoSport,2016,9998,Semi-Auto,18325,Petrol,160,44.8,1.5,black
171, Focus,2017,12498,Manual,9338,Petrol,145,60.1,1.0,green
172, EcoSport,2018,14998,Manual,7133,Diesel,145,58.9,1.5,black
173, Focus,2017,10498,Manual,42002,Petrol,20,60.1,1.0,orange
174, Kuga,2017,16995,Manual,3700,Petrol,145,38.2,1.5,silver
175, Focus,2019,15495,Manual,5600,Petrol,145,60.1,1.0,gray
176, Fiesta,2015,9495,Manual,17288,Petrol,0,65.7,1.0,white
177, B-MAX,2013,5995,Manual,42996,Diesel,20,70.6,1.6,white
178, Focus,2014,7498,Manual,47566,Petrol,30,56.5,1.0,white
179, Fiesta,2017,11798,Manual,4262,Petrol,0,65.7,1.0,gray
180, Fiesta,2017,10998,Manual,10125,Petrol,145,65.7,1.0,orange
181, Focus,2017,14998,Automatic,17028,Petrol,150,46.3,1.5,gray
182, Fiesta,2017,8998,Manual,12753,Petrol,145,54.3,1.2,green
183, Focus,2016,13998,Manual,24895,Diesel,20,67.3,2.0,yellow
184, Focus,2017,17998,Manual,9066,Petrol,145,41.5,2.0,yellow
185, Fiesta,2019,18998,Manual,3292,Petrol,145,40.3,1.5,silver
186, Kuga,2013,9198,Semi-Auto,48130,Diesel,200,45.6,2.0,orange
187, Kuga,2015,14498,Manual,27513,Diesel,145,54.3,2.0,white
188, Focus,2017,14998,Manual,32511,Petrol,150,41.5,2.0,orange
189, Fiesta,2016,8498,Manual,21888,Petrol,125,54.3,1.2,yellow
190, Fiesta,2019,13995,Manual,11130,Petrol,145,58.9,1.0,yellow
191, Focus,2017,18498,Manual,14441,Petrol,145,41.5,2.0,yellow
192, Focus,2018,13998,Manual,13401,Petrol,145,60.1,1.0,black
193, Fiesta,2019,12798,Manual,10567,Petrol,145,58.9,1.0,red
194, Fiesta,2019,14698,Manual,7872,Petrol,145,58.9,1.0,blue
195, Ka+,2017,7698,Manual,10641,Petrol,30,57.7,1.2,red
196, EcoSport,2018,12498,Manual,10222,Petrol,145,54.3,1.0,red
197, Fiesta,2017,9998,Manual,28519,Petrol,20,62.8,1.0,orange
198, Kuga,2017,13998,Manual,51772,Diesel,125,60.1,2.0,green
199, Fiesta,2016,9500,Automatic,7350,Petrol,0,57.7,1.0,black
200, Ka+,2018,8195,Manual,12231,Petrol,145,47.9,1.2,orange
201, Kuga,2019,21498,Automatic,5354,Petrol,150,31.0,1.5,gray
202, Focus,2017,17998,Manual,19525,Petrol,145,41.5,2.0,black
203, EcoSport,2018,14498,Manual,11922,Petrol,145,54.3,1.0,green
204, C-MAX,2016,9998,Manual,16984,Diesel,20,68.9,1.5,white
205, Fiesta,2016,7998,Manual,16070,Petrol,125,54.3,1.2,green
206, Focus,2018,10998,Manual,26648,Petrol,145,61.4,1.0,yellow
207, Fiesta,2017,10998,Manual,19140,Petrol,145,62.8,1.0,black
208, Focus,2016,9998,Manual,26399,Diesel,0,74.3,1.5,orange
209, Fiesta,2013,5498,Manual,53545,Petrol,30,54.3,1.2,silver
210, Fiesta,2017,9298,Manual,25491,Petrol,0,65.7,1.0,gray
211, Fiesta,2014,7298,Manual,31359,Petrol,0,65.7,1.0,yellow
212, Focus,2016,8498,Manual,51656,Diesel,0,74.3,1.5,gray
213, Kuga,2016,17698,Semi-Auto,11221,Diesel,145,54.3,2.0,black
214, Kuga,2017,14498,Manual,23356,Diesel,145,60.1,2.0,silver
215, EcoSport,2018,12898,Manual,15267,Petrol,145,53.3,1.0,black
216, B-MAX,2017,7998,Manual,41294,Diesel,0,74.4,1.5,green
217, C-MAX,2018,12198,Manual,7993,Petrol,145,49.6,1.0,green
218, EcoSport,2017,9698,Manual,30207,Petrol,145,53.3,1.0,orange
219, Fiesta,2016,8798,Manual,19815,Petrol,0,65.7,1.0,orange
220, Kuga,2015,14298,Manual,43717,Diesel,145,54.3,2.0,silver
221, Focus,2018,15798,Manual,4534,Petrol,145,58.9,1.0,gray
222, Fiesta,2017,10298,Manual,9148,Petrol,145,65.7,1.0,blue
223, KA,2014,4898,Manual,22609,Petrol,30,57.7,1.2,white
224, Focus,2016,10298,Manual,15510,Diesel,0,74.3,1.5,red
225, Fiesta,2017,9998,Manual,20347,Petrol,0,65.7,1.0,gray
226, Kuga,2018,16698,Manual,3044,Petrol,145,39.2,1.5,yellow
227, Fiesta,2017,8998,Manual,5233,Petrol,125,54.3,1.2,white
228, Grand C-MAX,2015,8998,Manual,28359,Diesel,125,60.1,1.6,gray
229, Focus,2017,12498,Semi-Auto,12244,Petrol,125,51.4,1.0,silver
230, Fiesta,2018,12498,Manual,17918,Petrol,145,65.7,1.0,blue
231, S-MAX,2020,34498,Semi-Auto,4623,Diesel,145,43.5,2.0,yellow
232, EcoSport,2017,9298,Manual,16770,Petrol,145,44.8,1.5,red
233, Focus,2017,10900,Manual,25459,Petrol,145,60.1,1.0,blue
234, EcoSport,2017,9998,Manual,23913,Petrol,125,53.3,1.0,gray
235, Fiesta,2018,12998,Manual,9901,Petrol,150,65.7,1.0,white
236, Focus,2016,10998,Semi-Auto,15006,Petrol,125,51.4,1.0,orange
237, Focus,2017,15500,Manual,19593,Petrol,145,41.5,2.0,orange
238, Kuga,2017,16200,Semi-Auto,23027,Diesel,145,58.9,1.5,orange
239, C-MAX,2016,10500,Semi-Auto,13580,Diesel,20,64.2,1.5,green
240, Focus,2015,13200,Manual,32000,Diesel,20,67.3,2.0,gray
241, Focus,2019,18698,Manual,15365,Petrol,145,60.1,1.0,orange
242, Focus,2019,16998,Manual,7924,Diesel,145,80.7,1.5,white
243, Fiesta,2017,9998,Manual,10721,Petrol,145,65.7,1.0,white
244, EcoSport,2017,9498,Manual,25939,Petrol,145,53.3,1.0,green
245, Fiesta,2019,17498,Manual,3265,Petrol,145,58.9,1.0,yellow
246, Focus,2019,15998,Automatic,11045,Petrol,145,41.5,1.0,green
247, EcoSport,2020,17998,Manual,250,Petrol,145,51.4,1.0,white
248, B-MAX,2013,5698,Manual,44901,Petrol,145,47.1,1.4,red
249, Focus,2017,9998,Manual,22001,Petrol,20,60.1,1.0,silver
250, Fiesta,2020,17298,Manual,4563,Petrol,145,54.3,1.0,red
251, Fiesta,2019,16998,Manual,12236,Petrol,145,55.4,1.0,red
252, Kuga,2019,23998,Manual,7584,Diesel,145,39.2,2.0,blue
253, Fiesta,2013,6498,Manual,41599,Petrol,0,65.7,1.0,red
254, Grand C-MAX,2017,12498,Manual,10373,Petrol,145,54.3,1.0,yellow
255, Fiesta,2013,4998,Manual,79300,Petrol,0,65.7,1.0,yellow
256, C-MAX,2017,11498,Manual,12982,Petrol,30,55.4,1.0,green
257, Focus,2017,11298,Manual,24386,Diesel,0,74.3,1.5,orange
258, EcoSport,2017,9298,Manual,18209,Diesel,30,64.2,1.5,white
259, EcoSport,2018,12998,Manual,9796,Petrol,145,54.3,1.0,black
260, Fiesta,2018,14498,Manual,9428,Petrol,145,62.8,1.0,gray
261, Galaxy,2016,18498,Manual,30528,Diesel,125,56.5,2.0,red
262, C-MAX,2016,8498,Manual,41772,Petrol,30,55.4,1.0,blue
263, Fiesta,2015,8298,Manual,15673,Petrol,0,65.7,1.0,yellow
264, Focus,2015,8498,Manual,47219,Diesel,0,74.3,1.5,green
265, Focus,2018,12998,Manual,16081,Petrol,150,57.7,1.0,red
266, Focus,2019,16998,Manual,10476,Petrol,145,60.1,1.0,blue
267, Fiesta,2016,9998,Manual,16647,Petrol,0,65.7,1.0,orange
268, Kuga,2017,13698,Manual,41457,Diesel,150,54.3,2.0,gray
269, Focus,2017,13998,Semi-Auto,4735,Petrol,125,51.4,1.0,white
270, EcoSport,2016,9498,Manual,24045,Petrol,125,53.3,1.0,white
271, EcoSport,2019,15984,Manual,6500,Petrol,145,51.4,1.0,silver
272, EcoSport,2017,8489,Manual,60190,Petrol,160,44.8,1.5,black
273, Fiesta,2017,9995,Manual,27000,Diesel,0,78.5,1.5,white
274, Fiesta,2017,8498,Manual,32538,Petrol,0,65.7,1.0,red
275, Kuga,2016,13498,Manual,36345,Diesel,150,54.3,2.0,red
276, Focus,2016,8998,Manual,43623,Petrol,20,61.4,1.0,green
277, Kuga,2013,9998,Semi-Auto,58500,Diesel,200,45.6,2.0,green
278, Kuga,2017,17498,Manual,15729,Diesel,145,54.3,2.0,green
279, Fiesta,2018,9998,Manual,7892,Petrol,145,65.7,1.0,silver
280, Fiesta,2017,11990,Manual,24725,Petrol,145,47.9,1.6,silver
281, Focus,2019,16899,Manual,7000,Diesel,145,80.7,1.5,orange
282, EcoSport,2019,15984,Manual,3500,Petrol,145,51.4,1.0,gray
283, EcoSport,2019,15984,Manual,4500,Petrol,145,51.4,1.0,gray
284, EcoSport,2019,15984,Manual,4000,Petrol,145,51.4,1.0,red
285, EcoSport,2019,13998,Manual,4889,Diesel,145,68.9,1.5,orange
286, Kuga,2017,17994,Manual,20633,Diesel,150,54.3,2.0,gray
287, Galaxy,2016,17489,Semi-Auto,47937,Diesel,165,51.4,2.0,black
288, Kuga,2018,19899,Semi-Auto,28500,Diesel,145,54.3,2.0,blue
289, Fiesta,2014,4699,Manual,85000,Petrol,30,54.3,1.2,white
290, EcoSport,2017,9949,Manual,23000,Petrol,125,53.3,1.0,white
291, C-MAX,2017,11498,Manual,9995,Petrol,145,55.4,1.0,white
292, C-MAX,2017,10898,Manual,12626,Petrol,30,55.4,1.0,silver
293, C-MAX,2018,12998,Manual,7320,Petrol,145,55.4,1.0,black
294, C-MAX,2019,13498,Manual,23394,Petrol,145,48.7,1.0,green
295, C-MAX,2017,9998,Manual,12932,Diesel,20,68.9,1.5,orange
296, Focus,2019,18998,Manual,22246,Diesel,150,64.2,2.0,white
297, Fiesta,2019,11798,Manual,5530,Petrol,150,48.7,1.1,white
298, Fiesta,2019,11798,Manual,4590,Petrol,150,48.7,1.1,silver
299, Fiesta,2017,8498,Manual,28479,Petrol,0,65.7,1.0,black
300, Kuga,2013,8998,Manual,67895,Diesel,200,47.9,2.0,blue
301, Focus,2019,14799,Manual,6249,Petrol,145,60.1,1.0,gray
302, Focus,2019,14799,Manual,8560,Petrol,145,60.1,1.0,white
303, Mustang,2020,42489,Automatic,3500,Petrol,145,22.1,5.0,white
304, Kuga,2017,17498,Manual,9940,Petrol,145,45.6,1.5,yellow
305, Focus,2019,16498,Manual,4930,Petrol,145,60.1,1.0,gray
306, Focus,2018,19698,Manual,12011,Petrol,145,41.5,2.0,orange
307, Fiesta,2016,8498,Manual,23053,Petrol,125,54.3,1.2,gray
308, Focus,2016,16998,Manual,17589,Petrol,200,41.5,2.0,orange
309, Focus,2019,14998,Manual,7000,Petrol,145,58.9,1.0,black
310, Grand Tourneo Connect,2019,19999,Manual,3500,Diesel,145,61.4,1.5,black
311, Kuga,2019,20999,Automatic,5500,Diesel,145,47.9,2.0,red
312, Focus,2019,14998,Manual,7000,Petrol,145,60.1,1.0,silver
313, Focus,2019,14998,Manual,7000,Petrol,145,58.9,1.0,gray
314, EcoSport,2019,13998,Manual,5000,Diesel,145,68.9,1.5,red
315, Kuga,2017,13898,Manual,33026,Diesel,145,60.1,2.0,green
316, Fiesta,2016,11498,Manual,8560,Petrol,0,65.7,1.0,orange
317, Focus,2018,19698,Manual,16548,Petrol,145,41.5,2.0,orange
318, Focus,2017,10498,Manual,49485,Diesel,0,74.3,1.5,orange
319, Mondeo,2017,17498,Semi-Auto,14569,Diesel,145,53.3,2.0,yellow
320, Kuga,2015,12498,Manual,60151,Diesel,145,54.3,2.0,red
321, Focus,2017,11498,Manual,9148,Petrol,145,61.4,1.0,white
322, Fiesta,2017,10998,Manual,13548,Petrol,0,65.7,1.0,gray
323, Mondeo,2019,22998,Manual,7337,Hybrid,140,47.1,2.0,silver
324, Fiesta,2015,8498,Manual,6649,Petrol,125,54.3,1.2,green
325, Focus,2017,11998,Manual,7690,Petrol,150,60.1,1.0,blue
326, Fiesta,2019,11898,Manual,3396,Petrol,150,48.7,1.1,white
327, Fiesta,2019,11498,Manual,15766,Petrol,145,58.9,1.0,gray
328, Fiesta,2019,13298,Manual,7349,Petrol,145,58.9,1.0,green
329, C-MAX,2016,9698,Manual,36860,Diesel,20,68.9,1.5,blue
330, EcoSport,2018,10498,Manual,59498,Diesel,145,68.9,1.5,orange
331, Kuga,2015,10998,Manual,17367,Diesel,125,60.1,2.0,black
332, Fiesta,2017,9598,Manual,14403,Petrol,145,64.2,1.1,gray
333, Focus,2019,16998,Manual,20647,Petrol,145,60.1,1.0,white
334, Fiesta,2019,13498,Manual,13351,Petrol,145,58.9,1.0,yellow
335, Fiesta,2016,6998,Manual,34804,Petrol,125,54.3,1.2,yellow
336, Kuga,2017,15498,Manual,38113,Diesel,125,60.1,2.0,orange
337, Fiesta,2018,9949,Manual,27399,Petrol,145,64.2,1.1,orange
338, C-MAX,2018,12998,Manual,2455,Diesel,145,68.9,1.5,red
339, Edge,2016,20799,Manual,52000,Diesel,200,47.9,2.0,black
340, Mustang,2020,38489,Automatic,3500,Petrol,145,30.7,2.3,green
341, Fiesta,2018,9489,Manual,35417,Petrol,145,64.2,1.1,green
342, Fiesta,2019,13949,Semi-Auto,11982,Petrol,145,48.7,1.0,blue
343, Fiesta,2018,10990,Manual,28138,Petrol,145,56.5,1.0,red
344, Kuga,2017,13489,Manual,34805,Diesel,145,54.3,2.0,gray
345, Focus,2015,7994,Manual,64612,Diesel,20,67.3,1.6,silver
346, Fiesta,2018,11489,Manual,19665,Petrol,145,60.1,1.0,yellow
347, Kuga,2018,15699,Manual,17500,Diesel,150,64.2,1.5,gray
348, Focus,2020,19998,Manual,4000,Diesel,145,74.3,1.5,green
349, Focus,2020,19489,Manual,5000,Diesel,145,74.3,1.5,red
350, Focus,2019,14998,Manual,7000,Petrol,145,58.9,1.0,silver
351, EcoSport,2016,9199,Manual,26445,Diesel,30,64.2,1.5,gray
352, C-MAX,2017,10489,Manual,26445,Diesel,20,68.9,1.5,blue
353, EcoSport,2018,11489,Manual,2922,Diesel,145,64.2,1.5,orange
354, Mustang,2018,29998,Automatic,3000,Petrol,145,28.8,2.3,black
355, Mustang,2018,31498,Automatic,6250,Petrol,145,23.5,5.0,blue
356, Focus,2018,11999,Manual,6691,Petrol,145,61.4,1.0,silver
357, Grand Tourneo Connect,2018,15990,Automatic,9486,Diesel,145,56.6,1.5,red
358, Focus,2019,16998,Automatic,8703,Petrol,145,40.9,1.5,yellow
359, EcoSport,2019,15489,Manual,5636,Diesel,145,68.9,1.5,silver
360, S-MAX,2019,22489,Manual,8224,Diesel,145,56.5,2.0,gray
361, S-MAX,2019,22489,Manual,4000,Diesel,145,56.5,2.0,green
362, Fiesta,2015,5998,Manual,55898,Diesel,0,78.5,1.5,green
363, Focus,2017,10998,Manual,28001,Petrol,145,60.1,1.0,white
