year,price,mileage,tax,mpg,engineSize,model,fuelType,transmission
2013,6498,41599,0,65.7,1.0,5,4,1
2017,12498,10373,145,54.3,1.0,9,4,1
2013,4998,79300,0,65.7,1.0,5,4,1
2017,11498,12982,30,55.4,1.0,1,4,1
2017,11298,24386,0,74.3,1.5,6,0,1
2017,9298,18209,30,64.2,1.5,2,0,1
2018,12998,9796,145,54.3,1.0,2,4,1
2018,14498,9428,145,62.8,1.0,5,4,1
2016,18498,30528,125,56.5,2.0,8,0,1
2016,8498,41772,30,55.4,1.0,1,4,1
2015,8298,15673,0,65.7,1.0,5,4,1
2015,8498,47219,0,74.3,1.5,6,0,1
2018,12998,16081,150,57.7,1.0,6,4,1
2019,16998,10476,145,60.1,1.0,6,4,1
2016,9998,16647,0,65.7,1.0,5,4,1
2017,13698,41457,150,54.3,2.0,13,0,1
2017,13998,4735,125,51.4,1.0,6,4,2
2016,9498,24045,125,53.3,1.0,2,4,1
2019,15984,6500,145,51.4,1.0,2,4,1
2017,8489,60190,160,44.8,1.5,2,4,1
2017,9995,27000,0,78.5,1.5,5,0,1
2017,8498,32538,0,65.7,1.0,5,4,1
2016,13498,36345,150,54.3,2.0,13,0,1
2016,8998,43623,20,61.4,1.0,6,4,1
2013,9998,58500,200,45.6,2.0,13,0,2
2017,17498,15729,145,54.3,2.0,13,0,1
2018,9998,7892,145,65.7,1.0,5,4,1
2017,11990,24725,145,47.9,1.6,5,4,1
2019,16899,7000,145,80.7,1.5,6,0,1
2019,15984,3500,145,51.4,1.0,2,4,1
2019,15984,4500,145,51.4,1.0,2,4,1
2019,15984,4000,145,51.4,1.0,2,4,1
2019,13998,4889,145,68.9,1.5,2,0,1
2017,17994,20633,150,54.3,2.0,13,0,1
2016,17489,47937,165,51.4,2.0,8,0,2
2018,19899,28500,145,54.3,2.0,13,0,2
2014,4699,85000,30,54.3,1.2,5,4,1
2017,9949,23000,125,53.3,1.0,2,4,1
2017,11498,9995,145,55.4,1.0,1,4,1
2017,10898,12626,30,55.4,1.0,1,4,1
2018,12998,7320,145,55.4,1.0,1,4,1
2019,13498,23394,145,48.7,1.0,1,4,1
2017,9998,12932,20,68.9,1.5,1,0,1
2019,18998,22246,150,64.2,2.0,6,0,0
2019,11798,5530,150,48.7,1.1,5,4,1
2019,11798,4590,150,48.7,1.1,5,4,1
2017,8498,28479,0,65.7,1.0,5,4,1
2013,8998,67895,200,47.9,2.0,13,0,1
2019,14799,6249,145,60.1,1.0,6,4,1
2019,14799,8560,145,60.1,1.0,6,4,1
2020,42489,3500,145,22.1,5.0,15,4,0
2017,17498,9940,145,45.6,1.5,13,4,1
2019,16498,4930,145,60.1,1.0,6,4,1
2018,19698,12011,145,41.5,2.0,6,4,1
2016,8498,23053,125,54.3,1.2,5,4,1
2016,16998,17589,200,41.5,2.0,6,4,1
2019,14998,7000,145,58.9,1.0,6,4,1
2019,19999,3500,145,61.4,1.5,10,0,1
2019,20999,5500,145,47.9,2.0,13,0,0
2019,14998,7000,145,60.1,1.0,6,4,1
2019,14998,7000,145,58.9,1.0,6,4,1
2019,13998,5000,145,68.9,1.5,2,0,1
2017,13898,33026,145,60.1,2.0,13,0,1
2016,11498,8560,0,65.7,1.0,5,4,1
2018,19698,16548,145,41.5,2.0,6,4,1
2017,10498,49485,0,74.3,1.5,6,0,1
2017,17498,14569,145,53.3,2.0,14,0,2
2015,12498,60151,145,54.3,2.0,13,0,1
2017,11498,9148,145,61.4,1.0,6,4,1
2017,10998,13548,0,65.7,1.0,5,4,1
2019,22998,7337,140,47.1,2.0,14,2,0
2015,8498,6649,125,54.3,1.2,5,4,1
2017,11998,7690,150,60.1,1.0,6,4,1
2019,11898,3396,150,48.7,1.1,5,4,1
2019,11498,15766,145,58.9,1.0,5,4,1
2019,13298,7349,145,58.9,1.0,5,4,1
2016,9698,36860,20,68.9,1.5,1,0,1
2018,10498,59498,145,68.9,1.5,2,0,1
2015,10998,17367,125,60.1,2.0,13,0,1
2017,9598,14403,145,64.2,1.1,5,4,1
2019,16998,20647,145,60.1,1.0,6,4,1
2019,13498,13351,145,58.9,1.0,5,4,1
2016,6998,34804,125,54.3,1.2,5,4,1
2017,15498,38113,125,60.1,2.0,13,0,1
2018,9949,27399,145,64.2,1.1,5,4,1
2018,12998,2455,145,68.9,1.5,1,0,1
2016,20799,52000,200,47.9,2.0,3,0,0
2020,38489,3500,145,30.7,2.3,15,4,0
2018,9489,35417,145,64.2,1.1,5,4,1
2019,13949,11982,145,48.7,1.0,5,4,2
2018,10990,28138,145,56.5,1.0,5,4,1
2017,13489,34805,145,54.3,2.0,13,0,1
2015,7994,64612,20,67.3,1.6,6,0,1
2018,11489,19665,145,60.1,1.0,5,4,1
2018,15699,17500,150,64.2,1.5,13,0,1
2020,19998,4000,145,74.3,1.5,6,0,1
2020,19489,5000,145,74.3,1.5,6,0,1
2019,14998,7000,145,58.9,1.0,6,4,1
2016,9199,26445,30,64.2,1.5,2,0,1
2017,10489,26445,20,68.9,1.5,1,0,1
2018,11489,2922,145,64.2,1.5,2,0,1
2018,29998,3000,145,28.8,2.3,15,4,0
2018,31498,6250,145,23.5,5.0,15,4,0
2018,11999,6691,145,61.4,1.0,6,4,1
2018,15990,9486,145,56.6,1.5,10,0,0
2019,16998,8703,145,40.9,1.5,6,4,0
2019,15489,5636,145,68.9,1.5,2,0,1
2019,22489,8224,145,56.5,2.0,18,0,1
2019,22489,4000,145,56.5,2.0,18,0,1
2015,5998,55898,0,78.5,1.5,5,0,1
2017,10998,28001,145,60.1,1.0,6,4,1
2014,11498,36052,160,47.9,2.0,13,0,1
2016,24999,42086,570,23.5,5.0,15,4,2
2017,15298,34673,125,60.1,2.0,13,0,1
2018,19498,22068,145,48.7,2.0,3,0,1
2019,16998,19936,145,60.1,1.0,6,4,1
2017,13998,4856,145,61.4,1.5,10,0,1
2017,11298,1397,165,44.1,1.6,0,4,2
2017,13398,21649,145,46.3,1.5,6,4,0
2017,17798,10345,145,41.5,2.0,6,4,1
2018,14998,14960,145,64.2,1.5,13,0,1
2015,13998,35689,205,41.5,2.0,6,4,1
2017,9189,31998,145,44.8,1.5,2,4,1
2018,10399,7200,145,65.7,1.0,5,4,1
2017,23899,27146,145,47.9,2.0,3,0,0
2013,5330,66937,30,54.3,1.2,5,4,1
2019,15985,5099,145,51.4,1.0,2,4,1
2015,7485,11092,125,54.3,1.2,5,4,1
2019,21999,6000,145,29.1,1.5,13,4,0
2017,10850,23634,150,65.7,1.0,5,4,1
2019,23250,9931,145,38.7,2.0,13,0,2
2016,7999,22633,0,65.7,1.0,5,4,1
2018,7999,9355,145,57.7,1.2,12,4,1
2013,7999,78170,200,47.9,2.0,13,0,1
2016,9699,13480,20,60.1,1.0,6,4,1
2019,39998,5000,145,22.6,5.0,15,4,0
2017,8500,15060,125,54.3,1.2,5,4,1
2016,9998,18912,0,65.7,1.0,5,4,1
2019,15995,6992,145,60.1,1.0,6,4,1
2017,11495,17766,145,65.7,1.0,5,4,1
2019,14698,8725,145,58.9,1.0,5,4,1
2016,9998,6820,0,65.7,1.0,5,4,1
2013,9498,29326,200,47.9,2.0,13,0,1
2017,10698,11235,0,57.7,1.0,5,4,2
2016,13499,38687,145,54.3,2.0,13,0,1
2017,15999,15005,145,54.3,2.0,13,0,1
2017,17299,14224,145,54.3,2.0,13,0,1
2019,14198,20205,150,58.9,1.0,6,4,1
2016,10898,13093,125,52.3,1.0,2,4,1
2019,17298,1434,150,48.7,1.0,5,4,2
2013,5998,44582,165,44.1,1.6,0,4,2
2015,9998,55621,30,64.2,2.0,14,0,1
2017,6998,21203,30,57.7,1.2,12,4,1
2017,16698,24498,145,67.3,2.0,6,0,1
2018,17298,3124,145,60.1,1.0,6,4,1
2017,15498,31073,125,60.1,2.0,13,0,1
2017,14298,6345,145,54.3,2.0,13,0,1
2016,9998,26138,20,68.9,1.5,1,0,1
2019,22998,593,145,47.9,2.0,13,0,1
2018,11598,11654,145,61.4,1.0,6,4,1
2018,10498,17532,145,65.7,1.0,5,4,1
2017,8698,36124,160,44.8,1.5,2,4,1
2017,17498,13558,200,41.5,2.0,6,4,1
2018,12499,13000,145,67.3,1.5,2,0,1
2018,9250,7812,145,47.9,1.2,12,4,1
2017,16250,28113,145,67.3,2.0,6,0,1
2017,9999,24130,150,52.3,1.0,2,4,1
2017,10999,23973,150,60.1,1.0,6,4,1
2019,18494,11858,145,38.2,2.0,13,0,1
2019,13489,26799,145,48.7,1.0,5,4,2
2014,6995,35084,0,65.7,1.0,5,4,1
2018,11995,12080,150,65.7,1.0,5,4,1
2017,10498,9621,145,65.7,1.0,5,4,1
2017,11300,13300,145,60.1,1.0,6,4,1
2018,11800,14024,145,62.8,1.0,5,4,1
2017,10800,17668,145,60.1,1.0,6,4,1
2016,8300,43121,0,65.7,1.0,5,4,1
2018,18499,14682,145,41.5,2.0,6,4,1
2014,6800,53500,30,56.5,1.0,6,4,1
2018,17000,15513,145,45.6,1.5,13,4,1
2017,8998,16701,0,78.5,1.5,5,0,1
2014,5698,51892,30,54.3,1.2,5,4,1
2017,8998,20648,160,44.8,1.5,2,4,1
2016,14998,38206,145,54.3,2.0,13,0,1
2017,18500,13692,145,54.3,2.0,13,0,1
2019,19298,12287,145,39.2,1.5,13,4,1
2014,10798,49989,160,47.9,2.0,13,0,1
2019,15998,12699,145,60.1,1.0,6,4,1
2015,7298,36700,0,65.7,1.0,5,4,1
2017,10298,25013,150,53.3,1.0,2,4,1
2017,10698,16505,0,65.7,1.0,5,4,1
2019,13998,5887,145,58.9,1.0,5,4,1
2013,8298,63508,145,53.3,2.0,13,0,1
2016,8998,36087,0,74.3,1.5,6,0,1
2016,11298,11117,30,55.4,1.0,1,4,1
2016,10498,17197,30,64.2,1.5,9,0,1
2013,8995,54000,145,53.3,2.0,13,0,1
2015,7895,27541,0,65.7,1.0,5,4,1
2018,18390,14682,145,41.5,2.0,6,4,1
2018,7795,9662,145,57.7,1.2,12,4,1
2017,10795,22727,20,60.1,1.0,6,4,1
2019,18298,6269,145,74.3,1.5,6,0,0
2015,7698,9708,20,70.6,1.6,0,0,1
2017,17698,18075,145,54.3,2.0,13,0,1
2017,16998,24885,145,54.3,2.0,13,0,1
2018,12698,3074,145,55.4,1.0,1,4,1
2016,10698,22141,0,78.5,1.5,5,0,1
2013,9998,43938,205,45.6,2.0,13,0,2
2017,14498,6038,150,54.3,2.0,13,0,1
2017,8998,20277,0,65.7,1.0,5,4,1
2017,11998,15297,20,68.9,1.5,1,0,1
2019,14000,11426,150,58.9,1.0,6,4,1
2019,16250,2951,150,52.3,1.0,2,4,1
2017,9700,28186,0,65.7,1.0,5,4,1
2013,9998,38629,200,42.8,1.6,13,4,1
2017,10998,14161,30,64.2,1.5,9,0,1
2016,15498,27716,125,56.5,2.0,8,0,1
2013,5489,41144,20,68.9,1.5,0,0,1
2019,18999,9695,145,54.3,1.5,13,0,1
2016,8449,79125,145,47.9,1.6,5,4,1
2016,8699,46040,30,61.4,1.6,1,0,1
2017,10489,37972,20,68.9,1.5,1,0,1
2017,12489,36394,145,64.2,1.5,13,0,1
2017,13698,78636,145,64.2,1.5,13,0,1
2018,18498,21167,145,67.3,2.0,6,0,1
2015,7298,36140,0,74.4,1.5,0,0,1
2017,9998,13861,145,60.1,1.0,6,4,1
2017,17498,22439,145,54.3,2.0,13,0,1
2017,18999,42500,125,51.4,2.0,18,0,1
2017,9489,29500,145,52.3,1.0,2,4,1
2017,20994,41000,145,48.7,2.0,3,0,0
2018,11998,6484,145,68.9,1.5,1,0,1
2014,6250,39223,30,54.3,1.2,5,4,1
2014,5950,64327,0,76.4,1.5,5,0,1
2017,10900,13338,0,74.3,1.5,6,0,1
2017,11200,15121,20,58.9,1.0,6,4,1
2017,9250,38541,20,60.1,1.0,6,4,1
2018,10300,9542,145,65.7,1.0,5,4,1
2019,13000,3629,145,49.6,1.0,1,4,1
2016,7000,82616,0,74.3,1.5,6,0,1
2015,9200,21261,0,65.7,1.0,5,4,1
2019,24995,10023,150,54.3,2.0,18,0,1
2016,8298,22919,0,65.7,1.0,5,4,1
2017,9298,41697,20,68.9,1.5,1,0,1
2019,16698,18697,145,60.1,1.0,6,4,1
2019,23698,5003,145,70.6,2.0,6,0,1
2019,20398,6233,145,74.3,1.5,6,0,1
2016,9698,19884,0,65.7,1.0,5,4,1
2018,17998,13734,145,39.2,1.5,13,4,1
2019,13698,12232,145,58.9,1.0,5,4,1
2016,9998,21243,20,60.1,1.0,6,4,1
2016,7298,31107,125,54.3,1.2,5,4,1
2013,5698,64292,20,67.3,1.6,6,0,1
2014,8998,68055,150,53.3,2.0,13,0,1
2018,12998,23200,150,65.7,1.0,5,4,1
2016,12498,25800,30,64.2,2.0,14,0,1
2019,20990,5100,145,31.7,2.0,21,0,1
2019,29999,100,145,30.1,2.0,21,0,1
2019,15489,5636,145,68.9,1.5,2,0,1
2019,15998,4500,145,80.7,1.5,6,0,1
2019,19999,3500,145,61.4,1.5,10,0,1
2016,8489,61379,0,74.3,1.5,6,0,1
2018,9490,3012,145,55.4,1.1,5,4,1
2017,12490,11292,125,51.4,1.5,6,4,1
2017,6490,19285,150,57.7,1.2,12,4,1
2016,14790,33352,205,41.5,2.0,6,4,1
2017,12498,17998,0,74.3,1.5,6,0,1
2018,18998,11578,150,67.3,2.0,6,0,1
2015,9598,29577,20,67.3,1.6,6,0,1
2017,10498,27704,145,74.3,1.5,6,0,1
2015,7998,19001,125,54.3,1.2,5,4,1
2016,9998,39460,30,64.2,1.5,9,0,1
2019,16250,13325,145,74.3,1.5,6,0,1
2019,18450,14464,145,54.3,1.5,6,0,0
2018,9950,19223,145,61.4,1.0,6,4,1
2019,9950,906,145,43.5,1.2,12,4,1
2019,9950,2520,145,43.5,1.2,12,4,1
2019,9950,1196,145,43.5,1.2,12,4,1
2015,8498,19429,0,65.7,1.0,5,4,1
2014,5998,69078,30,57.7,1.0,0,4,1
2017,9998,37560,145,53.3,1.0,2,4,1
2016,9998,3155,20,61.4,1.0,6,4,1
2019,16998,14206,150,60.1,1.0,6,4,1
2017,16998,30393,145,61.4,2.0,6,0,0
2014,11198,41711,145,53.3,2.0,13,0,1
2019,14498,14316,150,80.7,1.5,6,0,1
2016,7998,21456,125,54.3,1.2,5,4,1
2016,9998,20682,0,65.7,1.0,5,4,1
2019,17998,12027,145,74.3,1.5,6,0,1
2014,6498,36727,20,70.6,1.6,0,0,1
2019,19998,8757,145,28.8,1.5,13,4,0
2016,8698,28670,30,64.2,1.5,2,0,1
2017,10698,21041,0,78.5,1.5,5,0,1
2018,13698,4223,145,54.3,1.0,2,4,1
2019,13498,9007,145,58.9,1.0,5,4,1
2016,8498,11457,125,54.3,1.2,5,4,1
2014,6298,39944,30,54.3,1.2,5,4,1
2019,11698,3578,150,48.7,1.1,5,4,1
2017,13998,21167,150,54.3,2.0,13,0,1
2016,8498,31976,145,47.9,1.6,5,4,2
2018,13998,10149,145,57.7,1.0,6,4,1
2016,14498,50364,125,56.5,2.0,18,0,1
2018,11950,16678,145,58.9,1.0,5,4,1
2019,11395,1394,145,55.4,1.1,5,4,1
